transaction_id,ride_id,purchase_amount_usd,charge_status,transaction_ts
10000087,3000149,16.91,Approved,2021-10-03 09:35:00
10000088,3000152,29.5,Approved,2021-07-29 21:31:00
10000089,3000153,12.25,Approved,2021-05-18 16:11:00
10000090,3000157,15.02,Approved,2021-08-25 18:06:00
10000091,3000159,23.45,Approved,2021-03-07 18:01:00
10000092,3000162,25.9,Approved,2021-02-25 20:17:00
10000093,3000163,28.16,Approved,2021-06-19 20:07:00
10000094,3000167,26.85,Approved,2021-12-02 17:37:00
10000095,3000169,28.72,Approved,2021-09-07 18:55:00
10000096,3000171,22.33,Approved,2021-09-28 19:47:00
10000097,3000172,13.92,Approved,2021-11-11 18:36:00
10000098,3000173,19.87,Approved,2021-11-25 17:55:00
10000099,3000178,29.05,Approved,2021-08-18 16:49:00
10000100,3000180,15.68,Approved,2021-06-02 14:30:00
10000101,3000181,20.21,Approved,2021-04-30 23:27:00
10000102,3000182,18.21,Approved,2021-06-06 21:03:00
10000103,3000184,22.08,Approved,2021-06-22 18:14:00
10000104,3000185,22.76,Approved,2021-07-10 09:27:00
10000105,3000186,23.45,Approved,2021-07-30 10:44:00
10000106,3000187,16.89,Approved,2021-08-21 12:13:00
10000107,3000188,25.03,Decline,2021-10-03 18:36:00
10000108,3000189,27.57,Approved,2021-11-26 20:35:00
10000109,3000190,24.5,Approved,2021-12-30 14:41:00
10000110,3000192,13.87,Approved,2021-09-28 17:47:00
10000111,3000194,12.46,Approved,2021-10-22 20:04:00
10000112,3000195,20.14,Approved,2021-11-14 18:00:00
10000113,3000196,22.11,Decline,2021-08-17 18:26:00
10000114,3000197,14.21,Approved,2022-01-03 17:37:00
10000115,3000198,16.75,Approved,2021-06-20 10:10:00
10000116,3000199,19.53,Approved,2021-11-07 14:58:00
10000117,3000200,27.69,Approved,2021-07-18 09:59:00
10000118,3000201,22.96,Approved,2021-08-16 18:14:00
10000119,3000203,16.37,Approved,2021-09-17 17:34:00
10000120,3000207,20.48,Approved,2021-04-15 20:01:00
10000121,3000208,23.49,Approved,2021-07-05 13:57:00
10000122,3000210,29.07,Approved,2022-01-02 18:33:00
10000123,3000214,13.82,Approved,2021-09-17 09:08:00
10000124,3000215,21.95,Approved,2021-06-18 19:41:00
10000125,3000216,24.36,Approved,2021-03-30 09:06:00
10000126,3000217,19.12,Approved,2021-08-27 14:50:00
10000127,3000221,23.82,Approved,2021-09-04 10:28:00
10000128,3000222,13.95,Approved,2021-12-15 20:12:00
10000129,3000223,16.08,Approved,2021-10-03 16:36:00
10000130,3000225,12.3,Approved,2021-08-25 11:07:00
10000131,3000226,21.4,Approved,2021-10-15 20:38:00
10000132,3000227,19.99,Approved,2021-12-12 19:51:00
10000133,3000228,28.89,Approved,2021-03-29 15:57:00
10000134,3000229,15.9,Approved,2021-10-25 17:16:00
10000135,3000232,22.89,Approved,2021-04-20 17:54:00
10000136,3000233,11.85,Approved,2021-09-07 09:27:00
10000137,3000238,25.27,Approved,2021-12-04 05:24:00
10000138,3000239,16.32,Approved,2021-12-19 11:02:00
10000139,3000243,11.29,Approved,2021-11-11 17:37:00
10000140,3000244,24.55,Approved,2021-04-12 09:54:00
10000141,3000245,13.01,Approved,2021-06-24 11:15:00
10000142,3000247,11.25,Approved,2021-03-17 11:00:00
10000143,3000249,19.85,Approved,2021-09-26 11:41:00
10000144,3000251,10.91,Approved,2021-12-25 19:51:00
10000145,3000252,17.98,Approved,2021-10-29 09:06:00
10000146,3000253,12.89,Approved,2021-08-17 18:11:00
10000147,3000254,15.19,Approved,2021-10-27 21:04:00
10000148,3000256,24.54,Approved,2021-07-31 17:22:00
10000149,3000257,14.53,Approved,2021-09-26 09:05:00
10000150,3000258,24.34,Approved,2021-09-12 10:36:00
10000151,3000259,22.58,Approved,2021-09-15 10:53:00
10000152,3000262,24.05,Decline,2021-08-31 18:03:00
10000153,3000263,12.02,Approved,2021-11-28 17:57:00
10000154,3000265,21.63,Approved,2021-12-15 11:25:00
10000155,3000266,10.21,Approved,2021-03-22 18:58:00
10000156,3000267,25.9,Approved,2021-12-14 21:28:00
10000157,3000270,11.84,Approved,2021-10-26 11:49:00
10000158,3000271,26.55,Approved,2021-08-04 09:08:00
10000159,3000274,16.85,Approved,2021-09-26 11:42:00
10000160,3000277,19.53,Approved,2021-10-20 10:25:00
10000161,3000280,10.66,Approved,2021-12-31 21:02:00
10000162,3000281,26.59,Approved,2021-01-28 09:52:00
10000163,3000282,26.32,Approved,2021-04-07 18:02:00
10000164,3000283,26.06,Approved,2021-10-28 09:57:00
10000165,3000284,29.13,Approved,2021-05-05 19:38:00
10000166,3000285,12.03,Approved,2021-11-11 10:45:00
10000167,3000286,27.7,Approved,2021-10-04 18:25:00
10000168,3000287,11.1,Approved,2021-10-01 17:42:00
10000169,3000289,14.95,Approved,2021-09-07 09:06:00
10000170,3000291,29.84,Approved,2021-08-06 09:40:00
10000171,3000293,22.44,Approved,2021-10-20 20:20:00
10000172,3000294,16.12,Approved,2021-08-09 12:23:00
10000173,3000296,28.26,Approved,2021-11-30 11:11:00
10000174,3000297,11.16,Approved,2021-12-13 12:18:00
10000175,3000299,11.33,Approved,2021-08-18 20:03:00
10000176,3000301,22.98,Approved,2021-05-04 17:46:00
10000177,3000303,17.62,Approved,2021-11-12 14:38:00
10000178,3000304,22.83,Decline,2021-11-06 09:28:00
10000179,3000309,12.62,Decline,2021-10-01 17:28:00
10000180,3000310,24.19,Approved,2021-06-06 11:27:00
10000181,3000312,27.24,Decline,2021-12-03 12:12:00
10000182,3000317,26.35,Approved,2021-08-06 16:50:00
10000183,3000319,18.53,Approved,2021-03-20 19:36:00
10000184,3000320,23.02,Approved,2021-10-13 10:32:00
10000185,3000321,11.04,Approved,2021-06-30 16:32:00
10000186,3000322,24.64,Approved,2021-11-14 17:14:00
10000187,3000323,24.97,Approved,2021-08-22 14:58:00
10000188,3000325,21.9,Approved,2021-08-28 11:14:00
10000189,3000326,25.41,Approved,2021-07-06 10:23:00
10000190,3000328,12.02,Approved,2021-05-15 09:58:00
10000191,3000329,17.45,Approved,2021-12-31 18:43:00
10000192,3000331,18.47,Approved,2021-03-15 18:23:00
10000193,3000333,27.1,Approved,2021-10-15 08:58:00
10000194,3000334,12.17,Approved,2021-09-18 17:04:00
10000195,3000335,14.5,Approved,2021-04-15 20:30:00
10000196,3000336,15.86,Approved,2021-10-29 19:47:00
10000197,3000337,13.99,Approved,2021-08-07 09:07:00
10000198,3000339,15.13,Approved,2021-10-21 10:04:00
10000199,3000344,29.94,Approved,2021-12-28 12:34:00
10000200,3000345,12.55,Approved,2021-11-21 18:48:00
10000201,3000346,11.69,Approved,2021-05-22 21:00:00
10000202,3000349,18.89,Approved,2021-08-06 19:35:00
10000203,3000352,24.87,Approved,2021-10-09 18:05:00
10000204,3000353,11.8,Approved,2021-09-07 20:30:00
10000205,3000354,14.13,Approved,2021-12-26 19:44:00
10000206,3000355,19.77,Approved,2021-11-24 09:23:00
10000207,3000356,28,Approved,2021-12-05 10:39:00
10000208,3000357,25.26,Approved,2021-12-22 18:33:00
10000209,3000358,23.19,Approved,2021-08-16 12:53:00
10000210,3000359,16.66,Approved,2021-08-24 18:48:00
10000211,3000360,14.11,Approved,2021-09-10 09:57:00
10000212,3000361,23.34,Approved,2021-09-14 09:58:00
10000213,3000362,23.79,Approved,2021-11-12 02:42:00
10000214,3000363,14.7,Approved,2021-11-16 15:55:00
10000215,3000364,20.57,Approved,2021-11-21 10:41:00
10000216,3000365,28.97,Approved,2021-05-11 10:26:00
10000217,3000366,29.31,Approved,2021-09-29 08:32:00
10000218,3000367,10.85,Approved,2021-05-16 10:34:00
10000219,3000371,21.89,Approved,2021-10-05 14:05:00
10000220,3000372,18.17,Approved,2021-10-24 08:39:00
10000221,3000374,24.2,Approved,2021-09-11 18:23:00
10000222,3000375,16.9,Approved,2021-02-17 16:29:00
10000223,3000377,13.26,Approved,2021-04-02 18:35:00
10000224,3000378,21.91,Approved,2021-09-11 10:38:00
10000225,3000379,24.56,Approved,2021-12-16 18:19:00
10000226,3000380,29.61,Approved,2021-03-31 18:14:00
10000227,3000381,17.36,Approved,2021-10-30 16:13:00
10000228,3000382,29.48,Approved,2021-09-18 10:47:00
10000229,3000385,16.83,Approved,2021-08-31 17:48:00
10000230,3000388,15.49,Approved,2021-03-09 20:00:00
10000231,3000389,23.89,Approved,2021-08-26 11:28:00
10000232,3000390,14.85,Approved,2021-08-26 20:40:00
10000233,3000392,24.69,Approved,2021-06-23 19:05:00
10000234,3000393,22.54,Approved,2021-07-01 10:54:00
10000235,3000397,13.31,Approved,2021-05-26 10:47:00
10000236,3000398,15.35,Approved,2021-06-27 18:09:00
10000237,3000399,18.11,Approved,2021-09-07 20:26:00
10000238,3000404,16.93,Decline,2021-07-13 13:57:00
10000239,3000408,29.11,Decline,2021-12-19 14:30:00
10000240,3000411,19.91,Approved,2021-07-04 03:18:00
10000241,3000414,19.61,Approved,2021-11-16 12:02:00
10000242,3000415,28.66,Approved,2021-12-30 19:26:00
10000243,3000416,18.13,Approved,2021-02-01 11:09:00
10000244,3000418,19.97,Approved,2021-07-24 09:24:00
10000245,3000419,23.57,Approved,2021-07-13 08:16:00
10000246,3000420,20.28,Approved,2021-09-15 10:38:00
10000247,3000423,11.51,Approved,2021-11-30 10:30:00
10000248,3000424,13.86,Approved,2021-08-24 17:22:00
10000249,3000429,23.72,Approved,2021-12-16 11:26:00
10000250,3000430,10.17,Approved,2021-12-14 19:56:00
10000251,3000431,10.14,Approved,2021-06-25 17:17:00
10000252,3000433,23.19,Approved,2021-12-07 10:26:00
10000253,3000435,22.52,Approved,2021-09-24 20:13:00
10000254,3000437,11.61,Approved,2022-01-02 09:06:00
10000255,3000438,26.95,Approved,2021-08-16 18:23:00
10000256,3000439,28.23,Approved,2021-07-02 19:03:00
10000257,3000441,16.76,Approved,2021-12-18 09:28:00
10000258,3000442,29.72,Approved,2021-09-03 16:59:00
10000259,3000443,15.4,Approved,2021-08-02 16:47:00
10000260,3000444,25.14,Approved,2021-08-22 12:25:00
10000261,3000447,24.97,Approved,2021-12-03 15:39:00
10000262,3000448,26.35,Approved,2021-10-12 09:26:00
10000263,3000449,15.96,Approved,2021-08-30 15:22:00
10000264,3000450,19.74,Approved,2021-08-31 09:01:00
10000265,3000451,15.82,Approved,2021-06-27 18:30:00
10000266,3000452,29.37,Approved,2021-08-14 20:50:00
10000267,3000453,20.27,Approved,2021-10-11 15:33:00
10000268,3000454,20.83,Approved,2021-09-02 10:14:00
10000269,3000455,14.97,Approved,2021-08-08 10:17:00
10000270,3000457,18.12,Approved,2021-10-04 20:34:00
10000271,3000459,17.21,Approved,2021-09-08 17:24:00
10000272,3000460,23.34,Approved,2021-09-21 09:48:00
10000273,3000470,10.33,Approved,2021-11-10 09:14:00
10000274,3000475,17.08,Approved,2021-12-21 12:28:00
10000275,3000476,21.05,Approved,2021-09-07 10:46:00
10000276,3000477,25.76,Approved,2021-09-28 15:41:00
10000277,3000478,17.82,Approved,2021-09-14 18:14:00
10000278,3000481,27.56,Approved,2021-09-20 11:18:00
10000279,3000482,11.86,Approved,2021-11-04 19:58:00
10000280,3000484,24.89,Approved,2021-05-10 19:42:00
10000281,3000488,29.31,Approved,2021-10-24 19:21:00
10000282,3000490,22.75,Approved,2021-10-27 10:40:00
10000283,3000491,10.74,Approved,2021-08-10 10:38:00
10000284,3000493,12.1,Approved,2021-03-17 11:13:00
10000285,3000494,11.71,Approved,2021-07-24 19:14:00
10000286,3000495,26.17,Approved,2021-09-02 17:14:00
10000287,3000496,22.66,Decline,2021-06-23 16:41:00
10000288,3000500,18.12,Approved,2021-03-13 19:45:00
10000289,3000501,29.25,Approved,2021-11-11 21:00:00
10000290,3000504,14.06,Approved,2021-09-23 15:53:00
10000291,3000508,14.18,Approved,2021-03-12 17:13:00
10000292,3000509,18.49,Approved,2021-12-29 10:15:00
10000293,3000510,11.56,Approved,2022-01-02 20:34:00
10000294,3000513,22.41,Approved,2021-06-23 18:49:00
10000295,3000515,15.55,Approved,2021-07-01 17:28:00
10000296,3000516,10.03,Approved,2021-09-17 10:48:00
10000297,3000518,21.74,Approved,2021-11-20 20:15:00
10000298,3000524,12.03,Approved,2021-12-19 15:33:00
10000299,3000525,28.7,Approved,2021-11-06 00:37:00
10000300,3000526,24.73,Approved,2021-12-18 16:57:00
10000301,3000527,27.45,Approved,2021-04-10 19:09:00
10000302,3000528,18.6,Approved,2021-09-21 16:46:00
10000303,3000529,15.34,Approved,2021-08-12 09:44:00
10000304,3000531,11.17,Approved,2021-07-15 11:45:00
10000305,3000532,13.78,Approved,2021-12-24 10:08:00
10000306,3000536,27.03,Approved,2021-05-30 07:06:00
10000307,3000537,12.59,Approved,2021-10-02 10:03:00
10000308,3000540,25.55,Approved,2021-09-22 18:10:00
10000309,3000541,24.76,Approved,2021-08-25 16:47:00
10000310,3000544,18.55,Approved,2021-11-20 10:12:00
10000311,3000545,18.52,Approved,2021-11-12 17:33:00
10000312,3000546,12.34,Approved,2021-09-28 19:07:00
10000313,3000549,10.75,Approved,2021-05-17 09:16:00
10000314,3000550,13.84,Approved,2021-08-22 19:25:00
10000315,3000551,14.48,Approved,2021-10-17 09:48:00
10000316,3000552,24.34,Approved,2021-08-27 11:05:00
10000317,3000555,26.76,Approved,2021-09-09 16:51:00
10000318,3000556,13.85,Approved,2021-03-15 18:27:00
10000319,3000560,27.34,Approved,2021-04-15 18:21:00
10000320,3000566,10.5,Approved,2021-07-28 09:53:00
10000321,3000567,14.24,Approved,2021-06-30 09:31:00
10000322,3000568,29.85,Approved,2021-04-23 09:55:00
10000323,3000572,23.1,Approved,2021-09-09 20:15:00
10000324,3000573,14.2,Approved,2021-10-19 18:23:00
10000325,3000578,29.42,Approved,2021-08-17 17:44:00
10000326,3000579,27.06,Approved,2021-11-28 18:55:00
10000327,3000580,10.45,Approved,2021-11-03 09:28:00
10000328,3000581,10.78,Approved,2021-10-09 19:23:00
10000329,3000583,24.72,Approved,2021-08-09 20:56:00
10000330,3000585,26.77,Approved,2021-12-31 09:54:00
10000331,3000586,20.95,Approved,2021-12-25 18:26:00
10000332,3000587,14.2,Approved,2021-09-28 17:08:00
10000333,3000588,11.52,Approved,2021-11-03 09:41:00
10000334,3000589,17.35,Approved,2021-10-28 09:52:00
10000335,3000591,12.41,Approved,2021-10-19 19:18:00
10000336,3000592,22.4,Approved,2021-12-15 20:56:00
10000337,3000594,17.52,Approved,2021-10-22 18:45:00
10000338,3000595,14.53,Approved,2021-06-12 09:31:00
10000339,3000598,13.36,Approved,2021-09-21 20:13:00
10000340,3000599,10.93,Approved,2021-09-01 10:50:00
10000341,3000601,17.45,Approved,2021-09-10 18:41:00
10000342,3000603,11.13,Approved,2021-11-02 09:43:00
10000343,3000604,15.84,Approved,2021-12-10 20:26:00
10000344,3000606,14.54,Decline,2021-09-14 09:40:00
10000345,3000608,24.42,Approved,2021-10-03 10:47:00
10000346,3000610,26.73,Approved,2021-05-17 19:54:00
10000347,3000611,17.34,Approved,2021-11-25 15:53:00
10000348,3000612,17.52,Approved,2021-10-02 20:49:00
10000349,3000613,18.82,Approved,2021-11-29 18:04:00
10000350,3000614,16.24,Approved,2021-08-29 20:35:00
10000351,3000615,24.37,Approved,2021-06-19 18:20:00
10000352,3000616,19.9,Approved,2021-12-20 18:33:00
10000353,3000617,29.08,Approved,2021-12-08 17:41:00
10000354,3000618,11.19,Approved,2021-08-03 10:35:00
10000355,3000621,27.09,Approved,2021-11-25 21:29:00
10000356,3000624,17.5,Approved,2021-11-17 18:12:00
10000357,3000625,27.11,Approved,2021-10-16 19:56:00
10000358,3000626,12.29,Approved,2021-12-03 11:38:00
10000359,3000629,23.74,Approved,2021-09-05 10:52:00
10000360,3000631,28.46,Approved,2021-09-10 10:35:00
10000361,3000632,15.26,Decline,2021-11-03 14:28:00
10000362,3000633,15.23,Approved,2021-01-20 20:14:00
10000363,3000635,11.73,Approved,2021-01-24 12:16:00
10000364,3000637,22.04,Approved,2021-11-25 18:24:00
10000365,3000638,28.7,Approved,2021-12-05 16:43:00
10000366,3000639,21.37,Approved,2021-05-03 16:45:00
10000367,3000640,22.41,Approved,2021-07-16 11:10:00
10000368,3000642,29.14,Approved,2021-12-07 17:27:00
10000369,3000643,18.97,Approved,2021-07-19 09:42:00
10000370,3000644,15.19,Approved,2021-09-06 09:38:00
10000371,3000648,13.06,Approved,2021-08-18 10:22:00
10000372,3000649,18.8,Approved,2021-08-04 07:16:00
10000373,3000651,11.04,Approved,2021-08-06 18:16:00
10000374,3000652,12.67,Approved,2021-03-12 09:36:00
10000375,3000655,21.29,Approved,2021-12-30 18:44:00
10000376,3000658,24.05,Approved,2021-08-05 19:26:00
10000377,3000662,25.59,Approved,2021-07-22 09:26:00
10000378,3000663,29.31,Approved,2021-09-30 18:42:00
10000379,3000664,28.05,Approved,2021-10-30 09:43:00
10000380,3000665,15.02,Approved,2021-10-26 17:51:00
10000381,3000666,28.66,Approved,2021-08-19 18:10:00
10000382,3000667,15.29,Approved,2021-12-18 23:58:00
10000383,3000670,18.13,Approved,2021-06-20 10:40:00
10000384,3000671,22.7,Decline,2021-12-01 17:11:00
10000385,3000674,23.05,Approved,2021-12-22 11:13:00
10000386,3000675,21.37,Approved,2021-12-19 18:26:00
10000387,3000678,12.43,Approved,2021-10-03 09:06:00
10000388,3000679,14.07,Approved,2021-11-04 10:13:00
10000389,3000681,10.85,Approved,2021-10-16 17:06:00
10000390,3000683,11.96,Approved,2021-08-09 17:13:00
10000391,3000685,25.21,Approved,2021-09-05 11:24:00
10000392,3000686,27.31,Approved,2021-08-22 20:51:00
10000393,3000687,21.67,Approved,2021-10-14 11:21:00
10000394,3000690,16.9,Approved,2021-12-11 17:31:00
10000395,3000691,15.66,Approved,2021-11-18 20:21:00
10000396,3000692,26.04,Approved,2021-12-10 12:21:00
10000397,3000693,29.74,Approved,2021-08-02 17:58:00
10000398,3000695,11.97,Approved,2021-12-31 20:59:00
10000399,3000697,14.14,Approved,2021-12-01 16:29:00
10000400,3000699,29.45,Approved,2021-07-09 10:26:00
10000401,3000702,18.87,Approved,2021-11-27 19:33:00
10000402,3000704,10,Approved,2021-12-17 18:50:00
10000403,3000705,29.94,Decline,2021-06-12 19:57:00
10000404,3000706,17.3,Approved,2021-05-06 10:05:00
10000405,3000711,23.95,Approved,2021-12-08 13:57:00
10000406,3000712,10.42,Approved,2021-10-13 11:37:00
10000407,3000713,25.21,Approved,2021-08-23 09:00:00
10000408,3000714,25.35,Approved,2021-10-14 11:21:00
10000409,3000715,11,Approved,2021-12-22 18:33:00
10000410,3000717,14.66,Approved,2021-12-06 18:26:00
10000411,3000718,21.17,Approved,2021-10-11 17:34:00
10000412,3000720,11.15,Approved,2021-06-14 09:36:00
10000413,3000722,11.96,Approved,2021-11-06 20:35:00
10000414,3000723,11.78,Approved,2021-12-13 18:35:00
10000415,3000724,14.1,Approved,2021-12-25 19:17:00
10000416,3000725,11.87,Approved,2021-03-06 14:25:00
10000417,3000727,19.56,Approved,2021-11-07 12:00:00
10000418,3000729,13.05,Approved,2021-12-05 08:58:00
10000419,3000730,22.45,Approved,2021-11-27 20:04:00
10000420,3000731,27.49,Approved,2021-09-08 15:07:00
10000421,3000732,10.2,Approved,2021-11-21 20:20:00
10000422,3000733,28.3,Approved,2021-06-21 10:12:00
10000423,3000740,15.01,Approved,2021-09-01 04:57:00
10000424,3000741,29.54,Approved,2021-08-22 10:11:00
10000425,3000742,18.99,Approved,2021-05-03 15:40:00
10000426,3000743,14.66,Approved,2021-08-29 18:18:00
10000427,3000746,23.97,Decline,2021-11-26 17:28:00
10000428,3000749,18.23,Approved,2021-12-29 20:01:00
10000429,3000750,21.71,Approved,2021-09-28 17:47:00
10000430,3000751,25.08,Approved,2021-03-26 20:13:00
10000431,3000752,10.9,Decline,2021-10-18 18:57:00
10000432,3000753,28.07,Approved,2021-04-28 18:46:00
10000433,3000754,24.15,Approved,2021-09-20 20:28:00
10000434,3000756,14.8,Approved,2021-07-30 18:36:00
10000435,3000757,27.91,Approved,2021-03-28 10:32:00
10000436,3000758,27.06,Approved,2021-12-10 10:19:00
10000437,3000760,21.31,Approved,2021-11-18 10:35:00
10000438,3000761,20.5,Approved,2021-09-30 10:49:00
10000439,3000762,17.98,Approved,2021-05-23 19:39:00
10000440,3000767,15.52,Approved,2021-09-20 20:14:00
10000441,3000769,16.29,Approved,2021-06-27 19:29:00
10000442,3000770,25.39,Approved,2021-12-30 17:32:00
10000443,3000771,28.21,Approved,2021-12-26 15:47:00
10000444,3000773,24.09,Approved,2021-11-29 18:33:00
10000445,3000778,22.61,Approved,2021-05-22 10:24:00
10000446,3000779,26.58,Approved,2021-11-26 18:55:00
10000447,3000780,15.55,Approved,2021-04-21 20:44:00
10000448,3000781,26.21,Approved,2021-11-23 21:28:00
10000449,3000782,14.71,Approved,2021-08-21 20:33:00
10000450,3000784,16.89,Approved,2021-11-04 19:43:00
10000451,3000785,27.46,Approved,2021-12-06 18:25:00
10000452,3000786,21.56,Approved,2021-07-28 08:00:00
10000453,3000788,22.36,Approved,2021-10-26 19:34:00
10000454,3000789,21.06,Approved,2021-07-11 09:49:00
10000455,3000790,28.84,Approved,2021-11-14 19:34:00
10000456,3000791,18.99,Decline,2021-06-01 20:41:00
10000457,3000792,20.53,Approved,2021-09-01 21:06:00
10000458,3000793,24.84,Approved,2021-12-05 18:28:00
10000459,3000795,23.59,Approved,2021-06-08 09:24:00
10000460,3000797,21.04,Approved,2021-09-22 17:31:00
10000461,3000798,10.41,Approved,2021-05-15 08:58:00
10000462,3000799,10.78,Approved,2021-10-19 17:38:00
10000463,3000800,23.91,Approved,2021-10-15 11:16:00
10000464,3000802,15.33,Approved,2022-01-02 10:46:00
10000465,3000804,15.95,Approved,2021-07-13 14:48:00
10000466,3000806,18.64,Approved,2021-11-01 17:03:00
10000467,3000811,26.36,Approved,2021-07-28 01:46:00
10000468,3000812,23.31,Approved,2021-11-25 20:46:00
10000469,3000813,22.64,Approved,2021-08-10 10:46:00
10000470,3000814,25.18,Approved,2021-11-25 14:35:00
10000471,3000815,12.93,Approved,2021-09-10 17:56:00
10000472,3000816,26.78,Approved,2021-11-16 23:47:00
10000473,3000817,10.07,Approved,2021-11-18 10:58:00
10000474,3000818,15.47,Approved,2021-03-04 18:24:00
10000475,3000819,17.24,Approved,2021-10-16 10:56:00
10000476,3000820,29.39,Approved,2021-08-11 09:53:00
10000477,3000821,27.95,Approved,2021-08-01 19:23:00
10000478,3000824,16,Approved,2021-10-04 09:04:00
10000479,3000826,14.48,Approved,2021-12-26 19:36:00
